Date,ID,Target
3/10/2015,1,11619
3/10/2015,2,8428
3/10/2015,3,287
3/10/2015,4,2904
3/10/2015,5,3629
3/10/2015,6,3263
3/10/2015,7,208
3/10/2015,8,158
3/6/2015,9,11517
3/6/2015,10,8389
3/6/2015,11,287
3/6/2015,12,2841
3/6/2015,13,3576
3/6/2015,14,3210
3/6/2015,15,208
3/6/2015,16,158
3/5/2015,17,11497
3/5/2015,18,8383
3/5/2015,19,287
3/5/2015,20,2827
3/5/2015,21,3565
3/5/2015,22,3199
3/5/2015,23,208
3/5/2015,24,158
3/4/2015,25,11443
3/4/2015,26,8353
3/4/2015,27,287
3/4/2015,28,2803
3/4/2015,29,3530
3/4/2015,30,3164
3/4/2015,31,208
3/4/2015,32,158
3/2/2015,33,11443
3/2/2015,34,8353
3/2/2015,35,287
3/2/2015,36,2803
3/2/2015,37,3530
3/2/2015,38,3164
3/2/2015,39,208
3/2/2015,40,158
2/27/2015,41,11370
2/27/2015,42,8320
2/27/2015,43,287
2/27/2015,44,2763
2/27/2015,45,3490
2/27/2015,46,3124
2/27/2015,47,208
2/27/2015,48,158
2/26/2015,49,11341
2/26/2015,50,8308
2/26/2015,51,287
2/26/2015,52,2746
2/26/2015,53,3479
2/26/2015,54,3113
2/26/2015,55,208
2/26/2015,56,158
2/25/2015,57,8289
2/25/2015,58,287
2/25/2015,59,2725
2/25/2015,60,235
2/25/2015,61,235
2/25/2015,62,3095
2/25/2015,63,208
2/25/2015,64,158
2/25/2015,65,3461
2/25/2015,66,11301
2/23/2015,67,11155
2/23/2015,68,8223
2/23/2015,69,287
2/23/2015,70,2645
2/23/2015,71,3423
2/23/2015,72,3057
2/23/2015,73,208
2/23/2015,74,158
2/20/2015,75,11155
2/20/2015,76,8223
2/20/2015,77,287
2/20/2015,78,2645
2/20/2015,79,3423
2/20/2015,80,3057
2/20/2015,81,208
2/20/2015,82,158
2/19/2015,83,11155
2/19/2015,84,8223
2/19/2015,85,287
2/19/2015,86,2645
2/19/2015,87,3423
2/19/2015,88,3057
2/19/2015,89,208
2/19/2015,90,158
2/18/2015,91,8212
2/18/2015,92,287
2/18/2015,93,2604
2/18/2015,94,230
2/18/2015,95,230
2/18/2015,96,3042
2/18/2015,97,208
2/18/2015,98,158
2/18/2015,99,3408
2/18/2015,100,11103
2/17/2015,101,11103
2/17/2015,102,8212
2/17/2015,103,287
2/17/2015,104,2604
2/17/2015,105,3408
2/17/2015,106,3042
2/17/2015,107,208
2/17/2015,108,158
2/16/2015,109,11074
2/16/2015,110,8199
2/16/2015,111,287
2/16/2015,112,2588
2/16/2015,113,3401
2/16/2015,114,3035
2/16/2015,115,208
2/16/2015,116,158
2/13/2015,117,10987
2/13/2015,118,8155
2/13/2015,119,287
2/13/2015,120,2545
2/13/2015,121,3363
2/13/2015,122,2997
2/13/2015,123,208
2/13/2015,124,158
2/12/2015,125,10954
2/12/2015,126,8138
2/12/2015,127,287
2/12/2015,128,2529
2/12/2015,129,3350
2/12/2015,130,2984
2/12/2015,131,208
2/12/2015,132,158
2/11/2015,133,8135
2/11/2015,134,287
2/11/2015,135,2512
2/11/2015,136,10934
2/11/2015,137,221
2/11/2015,138,221
2/11/2015,139,2975
2/11/2015,140,208
2/11/2015,141,158
2/11/2015,142,3341
2/10/2015,143,10934
2/10/2015,144,8135
2/10/2015,145,287
2/10/2015,146,2512
2/10/2015,147,3341
2/10/2015,148,2975
2/10/2015,149,208
2/10/2015,150,158
2/6/2015,151,10792
2/6/2015,152,8084
2/6/2015,153,287
2/6/2015,154,2421
2/6/2015,155,3301
2/6/2015,156,2935
2/6/2015,157,208
2/6/2015,158,158
2/5/2015,159,10756
2/5/2015,160,8063
2/5/2015,161,287
2/5/2015,162,2406
2/5/2015,163,3286
2/5/2015,164,2920
2/5/2015,165,208
